fname,gain,pv_r,sigma,pe_res
.\2023-08-08\ham_km6206_1200v.pkl,12518508.840693235,3.515669515669516,9.79182646129193,59.27217620932958
.\2023-08-08\ham_km6206_1150v.pkl,8644462.182083426,2.5260115606936413,6.924214056892314,44.681188365843795
.\2023-08-08\ham_km6206_1250v.pkl,16296280.040574363,4.429611650485437,12.643993612173912,77.62304100938938
.\2023-08-08\ham_km6206_1100v.pkl,6788820.478762057,1.5707269155206285,5.437845122311709,31.903450407072263
.\2023-08-08\ham_km6206_1050v.pkl,4245974.491622552,4.997070884592853,2.2408332121950796,24.01779066165068
.\2023-08-08\ham_km6206_950v.pkl,1867125.2773943194,2.850860865518846,1.1317410065406952,12.173584885343386
.\2023-08-08\ham_km6206_900v.pkl,3896655.3436112884,1.0251084934903905,1.040406976744225,2.7060471879369072
.\2023-08-08\ham_km6206_1300v.pkl,22956224.777168065,3.9516129032258065,13.724922639330135,106.869890284657
.\2023-08-08\ham_km6206_1000v.pkl,28951195.181169357,1.0320326150262085,1.7838390261628319,2.7224641400629075
