fname,chisqr,gain,pv_r,sigma,pe_res
2023-08-08/ham_km6206_1200v.pkl,5.095440308882711e-05,12518508.840693235,3.515669515669516,9.79182646129193,59.27217620932958
2023-08-08/ham_km6206_1150v.pkl,0.000120500455629526,8644462.182083426,2.5260115606936413,6.924214056892314,44.681188365843795
2023-08-08/ham_km6206_1250v.pkl,3.785621899197641e-05,16296280.040574363,4.429611650485437,12.643993612173912,77.62304100938938
2023-08-08/ham_km6206_1100v.pkl,8.638590964263118e-05,6788820.478762057,1.5707269155206285,5.437845122311709,31.903450407072263
2023-08-08/ham_km6206_1050v.pkl,0.0007738194378030558,4245974.491622552,4.997070884592853,2.2408332121950796,24.01779066165068
2023-08-08/ham_km6206_0950v.pkl,0.002703249345691463,1867125.2773943194,2.850860865518846,1.1317410065406952,12.173584885343386
2023-08-08/ham_km6206_0900v.pkl,0.16296340390928574,3896655.3436112884,1.0251084934903905,1.040406976744225,2.7060471879369072
2023-08-08/ham_km6206_1300v.pkl,0.00019658889768019912,22956224.777168065,3.9516129032258065,13.724922639330135,106.869890284657
2023-08-08/ham_km6206_1000v.pkl,0.09769105846133996,28951195.181169357,1.0320326150262085,1.7838390261628319,2.7224641400629075
2023-06-20/nnvt_pn2209-4010_1300v.pkl,0.00411846163860991,39719213.35488177,3.599616858237548,28.863794652870016,168.59952142848047
2023-06-20/nnvt_pn2209-4017_1100v.pkl,0.00024958690362180145,15055426.222359026,3.7734265734265735,12.059396404109577,74.14870870981817
2023-06-20/nnvt_pn2209-4017_1150v.pkl,1.2822681319696092e-05,21806592.358866476,3.9659367396593677,12.08266863276883,109.52411940993666
2023-06-20/nnvt_pn2209-4017_1200v.pkl,5.445761396594304e-06,29598837.283874612,4.354026845637584,15.783730412690879,153.9827075549719
2023-06-20/nnvt_pn2209-4017_1250v.pkl,0.0028528694873352564,39531266.033040866,4.064638783269962,26.372457106747156,161.487081068242
2023-06-20/nnvt_pn2209-4017_1300v.pkl,0.00445458117379529,53513500.622082,4.005338078291815,38.1443563911498,163.3159518573895
2023-06-20/nnvt_pn2209-4010_900v.pkl,0.013885905700092183,3027706.1635284596,1.0675335570469797,2.425192636065514,26.145546933833565
2023-06-20/nnvt_pn2209-4010_950v.pkl,0.00016122249982174325,5228000.530159174,1.4543630892678032,4.18762835316076,29.77770094571347
2023-06-20/nnvt_pn2209-4010_1000v.pkl,0.0018310115697478993,15052019.201169688,2.286153846153846,6.028333690068456,41.75424798199461
2023-06-20/nnvt_pn2209-4010_1050v.pkl,0.0012694270299020622,11490613.18899331,3.15,9.203981164383611,57.7117886608863
2023-06-20/nnvt_pn2209-4010_1100v.pkl,7.593808782641237e-05,15664274.269748416,3.2204301075268815,11.418274022793277,89.30187213875584
2023-06-20/nnvt_pn2209-4010_1150v.pkl,4.744957711767509e-05,21258529.577753868,3.249496981891348,13.852305860883398,124.4176770423294
2023-06-20/nnvt_pn2209-4010_1200v.pkl,0.004873502135659461,29036805.715886008,3.3448979591836734,23.258481378424705,161.60512015708971
2023-06-20/nnvt_pn2209-4010_1250v.pkl,0.0030623094473661377,41409837.39289926,3.1870026525198942,33.16927975171231,132.68237990845512
2023-06-20/nnvt_pn2209-4017_900v.pkl,0.2427056508822141,36680992.18870189,1.0621326616288833,1.546393407534208,2.4834006524463015
2023-06-20/nnvt_pn2209-4017_950v.pkl,0.00031449310522553033,4656055.198553202,1.660238751147842,3.729500214041096,27.405629630967066
2023-06-20/nnvt_pn2209-4017_1000v.pkl,0.00028704274499708116,7496949.713970633,2.7187500000000004,5.4639461651042405,37.91661384152807
2023-06-20/nnvt_pn2209-4017_1050v.pkl,0.0001787404279123077,10526225.77941953,3.7777777777777777,7.495616747079099,53.99167521831358
