x,y
280.1543415448659, 0.8134325511423921
299.66922918408187, 7.854038144840693
320.1764292710519, 19.393133193201447
349.9448942422167, 25.37460319823515
340.02208772618604, 24.40499896513039
359.8677007582473, 25.873758584157223
380.04408460622653, 27.006731607093986
389.96689112225727, 27.11215690599184
400.22046845420584, 26.901716253214044
410.1433203933093, 26.797109250285676
420.0661269093398, 26.28014062487646
429.98893342537053, 25.77314533491777
440.5732815732372, 25.079746198115377
449.8345918805046, 24.40499896513039
460.08821463552596, 22.840937521375704
480.2645984835053, 20.48031667031959
500.11021151556645, 18.363662100708257
519.9558699707006, 13.498563304535303
540.4630246345979, 9.250369229226731
550.0551057577833, 8.326716765808477
600, 3.717234954779236
649.944848819144, 0.5683987283797943
699.2281560064519, 0.021628453687632172
