threshold,Channel 0_passes,Channel 1_passes,Channel 2_passes,Channel 0_dr,Channel 1_dr,Channel 2_dr
-1.0,5924160,3101337,5074385,19743409.265421037,10335805.525339134,16911369.683687396
-1.5,241595,142185,164536,805162.0755481613,473859.01906833885,548348.0505076358
-2.0,4887,8052,3691,16286.87292039928,26834.847709239824,12300.971546796347
-2.5,319,623,2800,1063.1292125245286,2076.2680232062107,9331.541677331285
-3.0,201,280,2468,669.8713846941387,933.1541677331285,8225.08744987629
-3.5,115,235,2163,383.2597474618206,783.18296220459,7208.615945738417
-4.0,70,196,1766,233.28854193328212,653.2079174131899,5885.536643631089
-4.5,40,164,1399,133.30773824758978,546.561726815118,4662.438145209452
-5.0,20,133,1115,66.65386912379489,443.24822967323604,3715.953203651565
-5.5,10,114,837,33.326934561897446,379.92705400563085,2789.464422830816
-6.0,8,86,581,26.661547649517956,286.611637232318,1936.2948980462415
-6.5,6,71,406,19.996160737138467,236.62123538947185,1353.0735432130364
-7.0,6,53,285,19.996160737138467,176.63275317805645,949.8176350140772
-7.5,6,45,189,19.996160737138467,149.9712055285385,629.8790632198617
-8.0,6,43,123,19.996160737138467,143.305818616159,409.92129511133857
-8.5,6,39,93,19.996160737138467,129.97504479140002,309.94049142564626
-9.0,6,34,80,19.996160737138467,113.31157751045131,266.61547649517956
-9.5,6,32,68,19.996160737138467,106.64619059807183,226.62315502090263
-10.0,6,31,59,19.996160737138467,103.31349714188208,196.62891391519491
