threshold,Channel 0_passes,Channel 1_passes,Channel 2_passes,Channel 0_dr,Channel 1_dr,Channel 2_dr
-1.0,5994800,2565936,2315526,19978830.73116628,8551478.116201688,7716938.347837214
-1.5,250210,166814,121167,833873.229673236,555939.9262008361,403812.46800614276
-2.0,6856,10396,54723,22848.946335636887,34646.68117054858,182374.98400307138
-2.5,2007,3407,51845,6688.715766572817,11354.486605238459,172783.4922361573
-3.0,1767,2672,49911,5888.869337087279,8904.956914938997,166338.06309188635
-3.5,1611,2392,48267,5368.969157921679,7971.802747205869,160859.1150499104
-4.0,1484,2222,46791,4945.717088985581,7405.244859653612,155940.05950857434
-4.5,1388,2101,45743,4625.778517191366,7001.988951454653,152447.39676648748
-5.0,1308,1998,45106,4359.163040696186,6658.721525467109,150324.4710348946
-5.5,1272,1941,44478,4239.186076273355,6468.757998464294,148231.53954440745
-6.0,1237,1882,43936,4122.541805306714,6272.129084549099,146425.21969115263
-6.5,1209,1843,43417,4029.226388533401,6142.154039757699,144695.55178739014
-7.0,1183,1793,43118,3942.576358672468,5975.519366948212,143699.0764439894
-7.5,1164,1760,42853,3879.255183004863,5865.54048289395,142815.91267809912
-8.0,1145,1724,42504,3815.9340073372573,5745.563518471119,141652.8026618889
-8.5,1124,1697,42203,3745.947444757273,5655.580795153996,140649.6619315758
-9.0,1093,1670,41960,3642.6339476153908,5565.598071836874,139839.81742172167
-9.5,1076,1655,41683,3585.978158860165,5515.607669994027,138916.6613343571
-10.0,1057,1637,41360,3522.65698319256,5455.619187782611,137840.20134800783
