fname,gain,pv_r,sigma,pe_res
.\2023-05-04_led60\ham_km6206_1100v.pkl,14.212796982020555,1.5168961201501876,5.685118792808222,34.71814122018748
.\2023-05-04_led60\ham_km6206_1300v.pkl,44.72677654109586,3.795425667090216,16.009209398140804,116.8446809098113
.\2023-05-04_led60\ham_km6206_900v.pkl,,1.014025590551181,0.9944616866437916,2.4699525410753456
.\2023-05-04_led60\nnvt_pn2209-4017_900v.pkl,7.977311643835563,1.0783847980997625,1.5954623287671124,4.939432093068269
.\2023-05-04_led60\nnvt_pn2209-4017_1300v.pkl,107.40067155393842,4.306889352818372,42.96026862068254,96.23814673668998
.\2023-05-04_led60\nnvt_pn2209-4017_1100v.pkl,32.804473458904226,3.8964218455743884,12.367613983686837,80.65113757389
.\2023-05-04_led60\nnvt_pn2209-4010_900v.pkl,6.279743120805233,,1.4130179768830067,16.984492677551835
.\2023-05-04_led60\nnvt_pn2209-4010_1300v.pkl,94.75620719178067,2.9289473684210523,34.11668637110707,239.71341780431618
.\2023-05-04_led60\nnvt_pn2209-4010_1100v.pkl,30.111542166095823,2.707574304889741,12.044616866438286,78.60797397087299
