x,y
200, 10.718566509438343
220.20620504714117, 23.465595074212533
240.05154135143897, 34.377891120502866
260.25774639858014, 44.59655412699119
280.10308270287805, 51.95655734945452
299.9484520416636, 57.526295721551314
319.793821380449, 62.26793739444273
340.0000264275902, 67.21001804753615
360.206165405756, 72.33941715183803
370.3093009638142, 74.2047174770505
380.05156777902914, 75.90311517721663
390.154637268112, 76.33374420197875
400.25770675719514, 76.76681635910161
410.3608423152533, 75.90311517721663
419.74224038762475, 74.8371119900439
429.8453759456831, 73.36984239396034
439.9484454347661, 72.13509018107798
450.0515149238489, 69.7275755455217
460.15465048190714, 67.40040754740012
479.9999867862049, 63.69312192794395
500.566994507214, 59.85018165685671
550.3608026738682, 50.50744854679047
600.1546108405219, 42.143569496653136
650.3092216810439, 34.67086068051148
700.1030298476978, 25.543858228494994
749.8968380143517, 15.747546717545417
800.412317597717, 6.297650026354986
850.2061257643711, 0.6721000064163379
