x,y
280.1543415448659, 0.8134325511423921
300.33077081591796, 19.093248152421502
319.84561303206124, 50.37320696967117
340.02208772618604, 68.26203752768204
360.1984261510926, 74.95289304826338
380.04408460622653, 82.62083227977973
389.96689112225727, 85.56930226234861
399.88974306136066, 86.91328860135351
410.1433203933093, 88.27838413760176
420.0661269093398, 90.01494245131312
429.98893342537053, 90.01494245131312
439.9117853644739, 89.66491442389739
450.1654081194952, 87.93511469333757
460.08821463552596, 86.23868018669475
479.93387309066, 79.1547534735528
500.11021151556645, 75.24548421656291
519.9558699707006, 56.618844096678274
540.1322538186798, 40.81586919396125
550.3858765737014, 36.74039099483741
599.669229184082, 18.079691413639686
649.944848819144, 3.1194489752133947
699.5589268223699, 0.11962838093083002
