fname,chisqr,charge[pC],sigma[pC],N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900.xml,3.6190499472930284e-05,"(23.497730314504647, 0.03489446736046789)","(4.761735109532742, 0.03489447444927048)","(36.12745508155545, 0.05364979022599197)","(7.32110586756201, 0.05364980112493385)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_2.xml,3.6121722845939255e-05,"(25.172402420580397, 0.03593289780902847)","(4.664903552956457, 0.035932898675383865)","(38.702241687700095, 0.055246363549609274)","(7.1722286073388215, 0.05524636488161944)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_FewerEvents.xml,3.924074644903596e-05,"(24.995277893612318, 0.03863782182417936)","(4.867457425838341, 0.038637866516421975)","(38.429915028646946, 0.05940514908116603)","(7.483652555362357, 0.05940521779490841)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_LaserCableMovement.xml,2.5397462316475146e-05,"(25.32203895205942, 0.050839579670118554)","(4.803734029604942, 0.05083958303870367)","(38.932305910806406, 0.07816519324692434)","(7.385678661532909, 0.0781651984260802)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_LightExposure.xml,3.3228331342005314e-05,"(24.941685822134012, 0.03767409001943176)","(4.879235391270723, 0.037674100443852616)","(38.347517915004666, 0.057923423951943935)","(7.501761024198081, 0.05792343997935557)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_MovingPMT.xml,3.2372574563473535e-05,"(24.343304730746933, 0.035643030647653604)","(4.833570602060283, 0.03564303455394692)","(37.42751476102368, 0.054800696554881526)","(7.431552004053251, 0.05480070256075675)"
/media/robertkralik/LaCie/PMTValidation/NNVT_PN23051100_1300V_Az030Pol00_Laser900_Restart.xml,2.7712225775040456e-05,"(25.478728753324976, 0.03757820804336493)","(4.724787961565646, 0.03757820917343884)","(39.173214444575095, 0.05777600665941731)","(7.264300107571271, 0.05777600839689127)"
