fname,chisqr,charge[pC],sigma[pC],N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol15.xml,2.0804666779950177e-07,123.35152229136,15.213963308272794,1.896513629689489e-10,2.3391270930230058e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol30.xml,2.1975077059369834e-07,130.61171549683104,15.665341940487272,2.0081381569963504e-10,2.4085259713054605e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol40.xml,1.6129470191328825e-07,131.63610670463245,16.0307105446515,2.0238880387297966e-10,2.4647009195173985e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol50.xml,7.38417894840442e-08,160.06749048202101,18.18081224563182,2.4610168705685166e-10,2.795276262681473e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol60.xml,7.694759367561065e-07,71.33483749476153,10.94097505949781,1.0967638588273515e-10,1.6821607011398636e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol70.xml,1.0272669491314901e-05,12.515113447633537,3.901826689413205,1.9241824332320954e-11,5.999007843356527e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol51.xml,8.220688692613177e-08,157.43409746309166,17.8818184577342,2.420528795026716e-10,2.7493063562379236e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol00.xml,2.733918200680754e-07,113.1981974437918,14.353490554346722,1.7404075792542541e-10,2.206830525012872e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol15.xml,2.7722584775993707e-07,116.15790902889222,14.50807019313845,1.785912760356393e-10,2.2305969436508626e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol30.xml,2.2699839974400174e-07,131.39515417530077,15.483171683904423,2.0201834248953092e-10,2.3805175310271677e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol40.xml,1.74689016754165e-07,132.29723492551332,15.656647801608653,2.0340527992336137e-10,2.407189258748094e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol50.xml,1.7453240521947744e-07,134.5492033380853,16.322826695798135,2.068676521006459e-10,2.5096133982457477e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol60.xml,3.5301691567510326e-07,105.04165092427762,14.133975839733058,1.6150017361960972e-10,2.1730804228293846e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol70.xml,1.2898322561784655e-05,11.788268527676781,3.634242061626073,1.8124309710885992e-11,5.587599954530471e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol00.xml,2.737462072574264e-07,112.63603398152122,14.28557991023776,1.7317643890568012e-10,2.1963893517090333e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol15.xml,2.4209388950484947e-07,120.00350334282699,14.800683585759645,1.8450382733225555e-10,2.275585872609922e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol30.xml,3.23083805594655e-07,112.10733811516418,14.244908061010252,1.7236357587984877e-10,2.1901361077302158e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol40.xml,3.848814495351998e-07,101.11907551036562,13.404540983234863,1.554692648818989e-10,2.0609307613074273e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol50.xml,6.031725993937973e-07,79.50696601417776,11.592259298637963,1.2224092731096253e-10,1.7822948067744695e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol60.xml,6.128921406628939e-07,74.38660866391137,11.748446374244807,1.1436844440740848e-10,1.80630836673444e-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol70.xml,3.835468050895177e-06,28.889690531537138,5.3035650629526385,4.44175238641617e-11,8.154162381617558e-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az330Pol60.xml,3.629136869851507e-07,101.7310882393335,14.861829388813419,1.564102265015613e-10,2.284986960390248e-11
