fname,chisqr,charge[pC],sigma[pC],gain (calc),N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol00.xml,2.70787671501249E-07,130.267749384737,16.195195344775,1.26E+07,2.00284972271018E-10,2.48999024384159E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol15.xml,3.03849301504594E-07,133.700170629771,16.4868785781944,1.27E+07,2.05562275342046E-10,2.53483616203183E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol30.xml,2.66547305615087E-07,141.507156638033,17.0098730147301,1.28E+07,2.17565414903219E-10,2.61524587718709E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol40.xml,2.4397307820435E-07,142.728132303416,17.4316544295192,1.33E+07,2.19442649126117E-10,2.6800942217424E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol50.xml,1.13059967859903E-07,174.32556472212,20.0113517562327,1.43E+07,2.68023290963451E-10,3.07671933424241E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol60.xml,8.18085868781478E-07,77.4530066855038,12.0237445110324,1.17E+07,1.19082991527684E-10,1.84863509760466E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol70.xml,2.1828225986843E-05,13.2430785786648,4.15756557163794,8.15E+06,2.03610612637295E-11,6.39220305227754E-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az180Pol51.xml,1.09164489991473E-07,173.28696446473,19.884671437503,1.42E+07,2.66426456560964E-10,3.05724239981781E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol00.xml,3.26078742743004E-07,123.379201277138,15.6219224864182,1.23E+07,1.89693919049984E-10,2.40185028665187E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol15.xml,3.16920251489207E-07,126.587276695646,15.82750349048,1.24E+07,1.94626293327378E-10,2.43345809894036E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol30.xml,2.5383932412189E-07,143.231908264568,16.9195461114843,1.25E+07,2.20217198121449E-10,2.60135823316363E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol40.xml,2.30785358539982E-07,144.201965533646,17.104702396496,1.27E+07,2.217086485699E-10,2.6298257714335E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol50.xml,1.9957313675972E-07,147.019834026009,17.8841661057891,1.36E+07,2.26041084767823E-10,2.74966730407635E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol60.xml,3.55905384010835E-07,115.203188772194,15.4328483131786,1.29E+07,1.77123406044468E-10,2.37278037815701E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az210Pol70.xml,2.36334225116761E-05,12.5708155889461,3.88848415861732,7.51E+06,1.93274656509199E-11,5.97849387560088E-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol00.xml,2.78127398546514E-07,122.448274187164,15.4912049388157,1.22E+07,1.88262630743535E-10,2.38175263353316E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol15.xml,3.07197932332657E-07,130.29998511208,16.0810973554375,1.24E+07,2.00334534283008E-10,2.47244782621439E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol30.xml,3.19780793835615E-07,122.007585594633,15.4615883649962,1.22E+07,1.87585077757841E-10,2.37719912378558E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol40.xml,4.18578601529787E-07,110.104632617243,14.5347670093171,1.20E+07,1.69284442195474E-10,2.23470154445445E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol50.xml,6.29286708971678E-07,86.4842751948023,12.7273860649988,1.17E+07,1.3296844952861E-10,1.9568190723724E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol60.xml,6.00090457600416E-07,81.1555525158347,12.9697278649669,1.29E+07,1.24775607639211E-10,1.99407880927272E-11
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az270Pol70.xml,5.40824425492057E-06,31.3707493602672,5.81998887986477,6.74E+06,4.82321195800004E-11,8.94815729086298E-12
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az330Pol60.xml,3.48408138986081E-07,112.575243338136,16.3455931015942,1.48E+07,1.73082974081254E-10,2.51311370355932E-11
