threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,5822747,2732180,19409137.257529408,9107257.559409108
-1.5,291928,149136,973092.3602409731,497119.50288049714
-2.0,6611,1304,22036.644630022038,4346.662320004347
-2.5,581,43,1936.6647300019367,143.33319000014333
-3.0,490,18,1633.3317000016334,59.99994000006
-3.5,463,9,1543.3317900015434,29.99997000003
-4.0,429,8,1429.99857000143,26.666640000026668
-4.5,402,7,1339.99866000134,23.333310000023335
-5.0,364,6,1213.3321200012133,19.99998000002
-5.5,328,6,1093.3322400010934,19.99998000002
-6.0,276,5,919.99908000092,16.666650000016666
-6.5,234,5,779.99922000078,16.666650000016666
-7.0,194,4,646.6660200006467,13.333320000013334
-7.5,160,4,533.3328000005333,13.333320000013334
-8.0,131,4,436.66623000043666,13.333320000013334
-8.5,115,4,383.33295000038333,13.333320000013334
-9.0,91,2,303.3330300003033,6.666660000006667
-9.5,75,2,249.99975000025,6.666660000006667
-10.0,61,1,203.33313000020334,3.3333300000033335
