threshold,PN2304-1470_passes,PN2305-1100_passes,PN2304-1470_dr,PN2305-1100_dr
-1.0,6768468,2735890,22561514.876970246,9119615.094103144
-1.5,341089,155679,1136961.0594112144,518928.9621420757
-2.0,8554,1515,28513.27630678072,5049.9899000201995
-2.5,1136,254,3786.65909334848,846.66497333672
-3.0,878,170,2926.66081334504,566.6655333356
-3.5,787,102,2623.3280866771597,339.99932000136
-4.0,725,69,2416.661833343,229.99954000092
-4.5,699,40,2329.99534000932,133.3330666672
-5.0,661,22,2203.32892667548,73.33318666696
-5.5,629,15,2096.6624733417198,49.9999000002
-6.0,610,13,2033.3292666748,43.33324666684
-6.5,590,11,1966.6627333412,36.66659333348
-7.0,570,9,1899.9962000076,29.99994000012
-7.5,545,9,1816.6630333406,29.99994000012
-8.0,526,8,1753.32982667368,26.66661333344
-8.5,502,8,1673.32998667336,26.66661333344
-9.0,490,7,1633.3300666732,23.33328666676
-9.5,464,7,1546.6635733395199,23.33328666676
-10.0,431,7,1436.66379333908,23.33328666676
