fname,chisqr,gain,pv_r,sigma,pe_res
../../data/2024-02-22_LED/HAM_KM56213_1058v.xml,0.0006049631166072315,"(5757506.906082266, 570529.263129236)","(1.2269870142914843, 0.3815312633811389)","(4.985955751189792, 0.7840018084172956)","(36.87618413732496, 9.4569203331954)"
../../data/2024-02-22_LED/HAM_KM56206_1122v.xml,0.0005030155168080231,"(5641985.088173662, 466490.5610409006)","(1.321381083280243, 0.3864227373997375)","(4.830670207907204, 0.7042997861308242)","(33.39644409604581, 7.648050400626496)"
../../data/2024-02-22_LED/NNVT_PN2304-1470_1066v.xml,0.00037447872938562755,"(5059920.690985897, 461878.49945617834)","(1.3174746556828003, 0.46297030924789256)","(4.129078846771346, 0.6642394625981238)","(25.290350001944592, 6.726731394524683)"

