fname,chisqr,charge[pC],sigma[pC],N_PE,sigma[NPE]
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az00Pol00_TESTING.xml,3.624401545710692e-07,"(113.08116247682023, 0.029746482125985328)","(15.308333306828947, 0.02974695557650023)","(173.86081818419743, 0.04573482980939055)","(23.536363576977283, 0.045735557733406255)"
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az00Pol30_TESTING.xml,2.7279002621959407e-07,"(127.55720308177807, 0.029851100791355334)","(16.313706680603353, 0.029851387349742766)","(196.11754254499928, 0.045895679648215795)","(25.082112077580597, 0.04589612022801358)"
/media/robertkralik/LaCie/PMTMeasurements/NNVT_PN23051100_1300V_Az00Pol60_TESTING.xml,3.275486205555491e-07,"(114.82569343563998, 0.032795881274344026)","(16.567219954835036, 0.032796042679104465)","(176.54301186884618, 0.05042324138291425)","(25.471885443126872, 0.050423489540636496)"
