fname,chisqr,gain,pv_r,sigma,pe_res
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_900v.xml,0.0006285123309216288,2170469.449150477,3.5373626373626372,1.4289179152176792,13.253853197019987
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_950v.xml,0.27268434878576875,7444893.472833775,,2.3516411767671963,-35.60469075732914
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1000v.xml,0.002369012410572593,4272784.821428625,5.35948361469712,2.222250963181068,25.174084086800775
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1050v.xml,0.0003499725039809839,7274925.499803306,1.7936893203883495,5.827215321233746,34.156635230945426
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1100v.xml,0.00044532622327198837,10747595.311083743,3.012027491408935,8.60882381622099,47.797638557594766
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1150v.xml,0.00019754870206497067,15644199.566466639,3.4817749603803487,12.172219100590054,68.88621320872673
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1200v.xml,0.0013590879747572703,21444927.038975272,3.6699729486023442,17.177367207371518,95.83917366222857
/mnt/e/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1250v.xml,0.0005765550588397825,26634702.127477597,3.8410206084396465,14.182570082638485,135.56447918610672
/mnt/c/Users/hayas/Downloads/NNVT_PN2304-1470_1300v.xml,4.911677666643593e-05,35707285.574111074,3.9473081328751434,18.77502185326767,170.86703409249654
NNVT_PN2305-1100_950v.xml,0.038322494618366336,5913586.719511709,1.7510344827586204,0.9472275899425624,3.046342433516166
NNVT_PN2305-1100_1000v.xml,0.43719009998795,2625677.66319495,17.4375,1.0515839038730856,-4.4783362817947765
NNVT_PN2305-1100_1050v.xml,0.01305523964251912,10200861.936278317,3.944405348346235,1.3617429332021274,4.051062327093391
NNVT_PN2305-1100_1100v.xml,0.0012009636471321942,2920825.8340167613,4.259176863181312,1.7373297302292328,14.052027406998832
NNVT_PN2305-1100_900v.xml,0.5021278586308104,8135458.887007689,8.4251968503937,0.9309289383450684,-10.284085687417999
NNVT_PN2305-1100_1150v.xml,0.0009365939617810209,3687203.817722124,5.378155461134716,2.100833795718056,19.388842470159233
NNVT_PN2305-1100_1250v.xml,0.0017707684099956527,8472526.84999914,1.8450902934537243,6.786494006788264,32.24702225591269
NNVT_PN2305-1100_1300v.xml,0.0002804829379307987,10721848.919586826,2.6833941605839415,8.58820098123153,47.96973353169855
NNVT_PN2305-1100_1200v.xml,0.00540341127051319,20059137.871325362,1.2587800369685767,5.355789810439393,22.550243497760917
