fname,chisqr,gain,pv_r,sigma,pe_res
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_900v.xml,0.008554023144549778,"(5987029.046176695, 924542.4053674166)",,"(1.4289179151614948, 2.1725194738991713)","(-123.84424670555826, 386.60847652145844)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_950v.xml,0.26032746100029275,"(8753787.927617338, 2037050.5181362797)",,"(2.3614564893647283, 4.802178173479745)","(-73.98674816910896, 291.8819066281605)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1000v.xml,0.005548496997293586,"(9731459.869032918, 287158.20048067655)",,"(2.2222509631849148, 0.7052455162789746)","(-71.79118927053071, 39.68844014750752)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1050v.xml,0.00034926564468576996,"(6538412.231377391, 240509.7012859454)",,"(5.827215325342363, 1.2470527307539307)","(35.09031920964489, 24.62891974724404)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1100v.xml,0.0004453330562094708,"(9515077.286136335, 280715.77604239515)",1.197594501718213,"(8.608823844178076, 1.7231949028244944)","(47.53198446955467, 30.23878551045264)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1150v.xml,0.0001975471047472106,"(13994861.641156016, 875623.9850329789)",,"(12.174738361381886, 1.9259583454192106)","(68.87977348394963, 17.5471670172276)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1200v.xml,0.0013581794629831654,"(19188423.64609288, 7653750.887021662)",1.6384129846708744,"(17.17738655821915, 26.615262436116705)","(90.05629394371005, 472.1196634731874)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1250v.xml,0.0005769441200120485,"(26619601.05423856, 9701046.811791228)",1.2806673209028459,"(21.334396404109395, 25.69430362525597)","(131.42980193775355, 489.23347826778917)"
/mnt/d/PMT_TEST/2023-10-13_LED/NNVT_PN2304-1470_1300v.xml,4.911611913706706e-05,"(37155047.82141839, 1944171.404842829)",1.252004581901489,"(18.809390125605855, 4.440657117043855)","(170.58122295119344, 84.20220557678111)"
